message,subject,intent,issue
Order delay Poor service by Shopzilla ????????????????????????????????????????????????????????????????????????????,,Delayed,Delayed - Order delay Poor service by Shopzilla ??????????????????????????????????????????????????????????????
Deal with seller,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Deal with seller 
the return policy should be enhanced,,Installation/demo,Installation/demo - the return policy should be enhanced 
Very good explanation and very nice talking I am happy ??,,Installation/demo,Installation/demo - Very good explanation and very nice talking I am happy ??
You welcome ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - You welcome ??
"Dear Shopzilla Support Team,I hope this email finds you well. I am writing to inquire about my eligibility for the ongoing \""Rush  ,   Pao\"" offer. I recently completed an order on Shopzilla within the specified time frame for this promotion and I would like to confirm whether I qualify for the associated cashback. :OrderOrder Date: 21 August I made sure to follow all the terms and conditions outlined for this offer, and I am eager to know if I am eligible for the cashback as mentioned in the promotion. I value your prompt response and assistance in clarifying this matter.If you require any additional information from my end to verify my eligibility, please do not hesitate to reach out. I appreciate your attention to this matter and look forward to hearing from you soon.Thank you for your time and assistance.Best regard",,Product Specific Information,"Product Specific Information - Dear Shopzilla Support Team,I hope this email finds you well. I am writing to inquire about my eligi"
Overall good,,Online Payment Issues,Online Payment Issues - Overall good 
Very good ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good ??
Thank you so much sir,,Missing,Missing - Thank you so much sir 
To bad customer service put me for 6 minutes on hold gona put review about bad service,,Order status enquiry,Order status enquiry - To bad customer service put me for 6 minutes on hold gona put review about bad service 
Try to return product or if u want to refund scan availablity is needed,,Missing,Missing - Try to return product or if u want to refund scan availablity is needed
Good,,Online Payment Issues,Online Payment Issues - Good
Not Bluetooth charging type cable and aer rabad,,UnProfessional Behaviour,UnProfessional Behaviour - Not Bluetooth charging type cable and aer rabad 
Delivery boy contact no,,Order status enquiry,Order status enquiry - Delivery boy contact no 
Very good customer support team behaviour and work it's amazing experience,,Wrong,Wrong - Very good customer support team behaviour and work it's amazing experience 
NO,,Invoice request,Invoice request - NO
Good,,Product Specific Information,Product Specific Information - Good
5,,Order status enquiry,Order status enquiry - 5
This customer support   is very nice so I am satisfy Lucent bahut acche tarike se samjhaya thanku,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - This customer support   is very nice so I am satisfy Lucent bahut acche tarike se samjhaya thanku
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Tq for helping me,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Tq for helping me 
Very good,,Order status enquiry,Order status enquiry - Very good 
Very Good,,Return request,Return request - Very Good 
Very nice ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very nice ??
Good,,Product Specific Information,Product Specific Information - Good
Nice work sir,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice work sir
All good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - All good
good respons,,Order status enquiry,Order status enquiry -   good respons
Please solve my problem as early as possible ??,,UnProfessional Behaviour,UnProfessional Behaviour - Please solve my problem as early as possible ??
Thxxx,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thxxx 
Thank you,,Return request,Return request - Thank you 
Customer executive was very nice and very polite.,,Return request,Return request - Customer executive was very nice and very polite.
Product quality are good and rate is more than less to other apps.Easy to return,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Product quality are good and rate is more than less to other apps.Easy to return 
V good person,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - V good person
great experience shruti,,Order status enquiry,Order status enquiry - great experience shruti 
Pls resolve the issue as early as possible,,Unable to track,Unable to track - Pls resolve the issue as early as possible
My issue is not Salve,,Wrong,Wrong - My issue is not Salve 
Good,,Fraudulent User,Fraudulent User - Good 
They quickly response.. Thank you,,Refund Enquiry,Refund Enquiry - They quickly response.. Thank you
Nice,,UnProfessional Behaviour,UnProfessional Behaviour - Nice
NICE ALL,,Seller Cancelled Order,Seller Cancelled Order - NICE ALL
Kindly solve my complain issue regarding my fake return status updated by your today Master man/delivery boy and Shopzilla will be action against that man and if my problem sove quickly I will be very happy ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Kindly solve my complain issue regarding my fake return status updated by your today Master man/deli
Customer support executive   was polite and understand my product related queries...I am happy so and recommend Shopzilla to hier such soft hearted.....thanks alot once again minakshi,,Return request,Return request - Customer support executive   was polite and understand my product related queries...I am happy so an
Your service is fast and reliable,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Your service is fast and reliable 
Refund me back,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Refund me back
Customer care support executive is great and helpful,,Fraudulent User,Fraudulent User - Customer care support executive is great and helpful 
Thanku so much ?? customer service.... always happy to you ..thanku for nice information...thanku a lot ...a lottttttt .....,,Order status enquiry,Order status enquiry - Thanku so much ?? customer service.... always happy to you ..thanku for nice information...thanku a 
Better control and management of your suppliers to ensure they perform and deliver,,Missing,Missing - Better control and management of your suppliers to ensure they perform and deliver 
Wjhj,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Wjhj
Don't hide the policy,,Product Specific Information,Product Specific Information - Don't hide the policy 
"The customer care was unable to resolve my query, my order has not been delevered from more than 20 days what is the issue... I need my money back and need to cancel the order",,Not Needed,"Not Needed - The customer care was unable to resolve my query, my order has not been delevered from more than 20 "
Nice,,Refund Related Issues,Refund Related Issues - Nice 
very good service,,Delayed,Delayed - very good service
Good,,Wrong,Wrong - Good 
Good,,Service Centres Related,Service Centres Related - Good 
"What if you find a vendor selling pirated copies of the books, would you ask the. Customer to accept the fate of buying such products? I don't think it is a best practice since I don't have an option to refund I do now want to accept the book from same vendor do a QC from your side before sending a product to the customer. If there is an option of recieving original book of the publisher from another vendor that would ease the process of replacement.",,Product Specific Information,"Product Specific Information - What if you find a vendor selling pirated copies of the books, would you ask the. Customer to accept"
Good,,Technician Visit,Technician Visit - Good
All good,,Wrong,Wrong - All good
I am very upset to reply the product cannot be replaced and pickup. I cannot help you.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I am very upset to reply the product cannot be replaced and pickup. I cannot help you.
Helpful customer team,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Helpful customer team
Good support,,Return request,Return request - Good support
No thanks,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - No thanks
Good service,,Wrong,Wrong - Good service
Thanks saroj diwedi sir,,Seller Cancelled Order,Seller Cancelled Order - Thanks saroj diwedi sir
Make return policies felxible in all cases,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Make return policies felxible in all cases
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good
Thank you,,Delayed,Delayed - Thank you 
Warranty claim I have no any contact and not received SMS,,Installation/demo,Installation/demo - Warranty claim I have no any contact and not received SMS 
More information like that delivery boy location,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - More information like that delivery boy location 
Good,,Fraudulent User,Fraudulent User - Good 
Please make the number of the delivery agent available to customers - it will save a lot of time,,Delayed,Delayed - Please make the number of the delivery agent available to customers - it will save a lot of time
I like your explana,,Order status enquiry,Order status enquiry - I like your explana 
Voice are very good and helpful nature ??,,Delayed,Delayed - Voice are very good and helpful nature ??
